,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
,indice,year,month,BRUSSEL SPR,CRKLE CARR CONV,BABY ORG CARR,YLLW ORG CARR,YLLW BIAS CARR,GRN BEANS,SLAB GR BEANS,SUGAR SNAP P,BROC FLTS,ORG JUL. CARR,STRPS GR PEPPER,CELERY,ONION,MUSHROOM,WATER CH NUTS,CORN WHOLE,CORN KERNELS,GARBANZO,GREEN PEPPER,KIDNEY BEANS,NAVY BEANS,RED PEPPER,GREEN PEAS,ITALIAN GR BEANS,DCED POTATOES,LIMA BEANS,CUT GR BEANS,BROC CUTS,SNOW PEAS,PARIS CARR,prod31,prod32,prod33,prod34
0,2018importpurchasesjan,2018,January,156.84 ,189.00 ,0.00 ,0.00 ,0.00 ,47.64 ,0.00 ,0.00 ,72.45 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,48.00 ,0.00 ,78.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,80.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1,2018importpurchasesfeb,2018,February,93.80 ,37.80 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,308.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,51.55 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,40.60 ,80.00 ,80.16 ,0.00 ,78.20 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2,2018importpurchasesmar,2018,March,52.04 ,0.00 ,40.60 ,1.45 ,0.00 ,47.64 ,0.00 ,0.00 ,306.63 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,48.00 ,0.00 ,79.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,40.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3,2018importpurchasesapr,2018,April,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
4,2018importpurchasesmay,2018,May,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
5,2018importpurchasesjun,2018,June,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
6,2018importpurchasesjul,2018,July,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
7,2018importpurchasesaug,2018,August,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
8,2018importpurchasessep,2018,September,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
