,indice,year,month,Crkle Markon,Crkle small/med,Crkle P. Ch.,Crkle Org,Juliene Conv.,Julinene Org,Bias Smooth Oran,Smooth Slices,Baby Conv,Baby Org,Bias Yllow Org,Bias Yllow Conv,Diced,Shoestring,Parisian,Finished,prod17,prod18,prod19,prod20,prod21,prod22,prod23,prod24,prod25,prod26,prod27,prod28,prod29,prod30,prod31,prod32,prod33,prod34
0,2018inventoriescarrotsjan,2018,January,6,2056,88,110,292,71,532,76,183,209,289,112,548,202,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018inventoriescarrotsfeb,2018,February,4,1738,90,28,282,54,421,47,183,167,250,112,493,186,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018inventoriescarrotsmar,2018,March,6,1191,87,46,235,36,386,76,183,117,133,238,357,171,54,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018inventoriescarrotsapr,2018,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018inventoriescarrotsmay,2018,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018inventoriescarrotsjun,2018,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018inventoriescarrotsjul,2018,July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018inventoriescarrotsaug,2018,August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018inventoriescarrotssep,2018,September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018inventoriescarrotsoct,2018,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018inventoriescarrotsnov,2018,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018inventoriescarrotsdec,2018,December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
