,indice,year,month,Japan,"1 1/2"" - 2""","1 1/4""-1 3/4""","1"" - 2""","3/4""-1 1/2""","3/4""-1 3/8""","3/4""-1 1/4""",IZ PREMIUM,RICED CONV.,RICED ORG.,ORGANIC,WET PACK,NUGGETS,OTHERS,LA HUERTA,prod16,prod17,prod18,prod19,prod20,prod21,prod22,prod23,prod24,prod25,prod26,prod27,prod28,prod29,prod30,prod31,prod32,prod33,prod34
0,2018inventoriescauliflowerjan,2018,January,220,715,5,120,248,648,0,0,0,0,1445,0,623,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018inventoriescauliflowerfeb,2018,February,219,664,5,201,510,1163,0,0,0,188,996,0,762,1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018inventoriescauliflowermar,2018,March,251,581,5,551,695,1325,0,0,1,174,1532,0,822,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018inventoriescauliflowerapr,2018,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018inventoriescauliflowermay,2018,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018inventoriescauliflowerjun,2018,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018inventoriescauliflowerjul,2018,July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018inventoriescaulifloweraug,2018,August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018inventoriescauliflowersep,2018,September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018inventoriescaulifloweroct,2018,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018inventoriescauliflowernov,2018,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018inventoriescauliflowerdec,2018,December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
